K,method,sp_mahal,sp_rarity,sp_nn_spec,sp_coherence,time
50,max,-0.16658582877505393,-0.3745376752448475,-0.16094221950898208,-0.374059762343482,23.91420841217041
50,mean,0.24086815799183456,0.07694617309092455,0.23475163752138153,0.08426715528326396,18.897854804992676
50,softmax,0.13138722217696266,-0.18024739745081733,0.20086392284601728,0.24820006570220143,18.436768531799316
100,max,-0.22656716552988662,-0.3764706563497396,-0.20482122789561477,-0.3758223662875449,18.309176445007324
100,mean,0.2873608599183893,0.08171933863984673,0.2591353889915348,0.08917384491888856,19.5037624835968
100,softmax,0.15626391104908652,-0.17714744018059875,0.24259771425451243,0.2499297035004095,22.773698329925537
200,max,-0.2823129721136731,-0.37744222544323236,-0.2225188824423318,-0.3764443541602289,77.62688207626343
200,mean,0.33459765488616555,0.08420075672669902,0.2755738867526802,0.09176104277595397,78.50973343849182
200,softmax,0.16799845700388927,-0.17353255550070473,0.2603322996630558,0.26048282256198924,76.16880536079407
300,max,-0.3112038501036104,-0.380287503872932,-0.22618210082128357,-0.37959926955924267,106.40525412559509
300,mean,0.34796611714949016,0.08062415670638583,0.2745573886006972,0.0883674988167904,105.35053968429565
300,softmax,0.15155770725672865,-0.177053065143741,0.24946809320754937,0.252598645886289,110.9256362915039
500,max,-0.3331051974758843,-0.38416376655236406,-0.22538435168052687,-0.383528443796345,192.60263895988464
500,mean,0.36526877896383664,0.07772914702532402,0.2836536373665226,0.08620299922286638,199.4695794582367
500,softmax,0.1315563139811108,-0.17615097938954896,0.22025504011738345,0.2321592990620626,199.83100366592407
750,max,-0.3351513666164214,-0.38706205160721946,-0.2151583716363946,-0.38547685548799343,286.11863231658936
750,mean,0.3835891084981877,0.08020291154395644,0.29803074378225625,0.08920584497967618,286.64018654823303
750,softmax,0.09624407448780745,-0.17153889019242752,0.15896025967724187,0.19857954223679486,290.832412481308
1000,max,-0.34524386909539395,-0.3883627843741433,-0.23326752893730315,-0.3871279006078083,335.58104968070984
1000,mean,0.38431645945757725,0.07618710732380496,0.29069230644109806,0.08567111292850728,329.5105652809143
1000,softmax,0.04873675411575399,-0.17962605177057028,0.08714081246385383,0.15430069984354775,322.89030957221985
