task,model,AUC,AP,F1,precision,recall
100+ citations,GB_temporal,0.5061882469530233,0.03626848134342516,0.028169014084507043,0.043478260869565216,0.020833333333333332
100+ citations,threshold_DM,,,0.0945945945945946,0.05026109660574413,0.8020833333333334
100+ citations,RF_balanced,0.6538224026742396,0.06356948451911439,,,
500+ citations,GB_temporal,0.3674933687002653,0.0034505370342202964,0.0,0.0,0.0
500+ citations,threshold_DM,,,0.015822784810126583,0.008077544426494346,0.38461538461538464
500+ citations,RF_balanced,0.4469628647214854,0.00424512481456044,,,
50+ citations,GB_temporal,0.5560883849088597,0.09766313670905263,0.04240282685512368,0.09090909090909091,0.027649769585253458
50+ citations,threshold_DM,,,0.192102454642476,0.10863005431502716,0.8294930875576036
50+ citations,RF_balanced,0.6941004936482106,0.14551569079410764,,,
