model,sp_r,n_features
GB_all,0.054435451475937244,45
GB_spectrum_only,-0.04713138615460952,20
GB_paper_emb_only,-0.06934248275918033,7
GB_raw_spectrum,0.01842879445731996,21
RF_all,0.23937517011373627,45
