split,n_train,n_test,r_DM_mean,r_kNN_2y,metric,mean_r,ci_lo,ci_hi
2017.0,1368.0,3864.0,0.34357741729270547,0.34569458423187605,,,,
2018.0,1801.0,3431.0,0.36220539586868544,0.3705950564936539,,,,
2019.0,2319.0,2913.0,0.3835863341002404,0.41163051441609916,,,,
2020.0,2896.0,2336.0,0.38794610563530074,0.44704501457588475,,,,
2021.0,3556.0,1676.0,0.35874141269752974,0.4823254954996105,,,,
,,,,,D_M_mean,0.3842983466187529,0.3503506116510685,0.4151303316952894
,,,,,kNN_2y,0.4119938307889134,0.3821715181939538,0.4418737123348053
